OID_ZCTA5_20,GEOID_ZCTA5_20,NAMELSAD_ZCTA5_20,AREALAND_ZCTA5_20,AREAWATER_ZCTA5_20,MTFCC_ZCTA5_20,CLASSFP_ZCTA5_20,FUNCSTAT_ZCTA5_20,OID_PLACE_20,GEOID_PLACE_20,NAMELSAD_PLACE_20,AREALAND_PLACE_20,AREAWATER_PLACE_20,MTFCC_PLACE_20,CLASSFP_PLACE_20,FUNCSTAT_PLACE_20,AREALAND_PART,AREAWATER_PART
221704257879098,13035,ZCTA5 13035,194720110,5066155,G6350,B5,S,27890737072429,3613145,Cazenovia village,4888199,0,G4110,C1,A,4888199,0
221704257879101,13036,ZCTA5 13036,119385324,1288001,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,111678313,945573
221704257879101,13036,ZCTA5 13036,119385324,1288001,G6350,B5,S,28090695087993,3608059,Brewerton CDP,8199201,436561,G4210,U1,S,2769856,342428
221704257879101,13036,ZCTA5 13036,119385324,1288001,G6350,B5,S,27890695088002,3613585,Central Square village,4937155,0,G4110,C1,A,4937155,0
221704257879102,13037,ZCTA5 13037,110129312,360103,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,103694960,360103
221704257879102,13037,ZCTA5 13037,110129312,360103,G6350,B5,S,27890737072430,3615561,Chittenango village,6434352,0,G4110,C1,A,6434352,0
221704257879106,13039,ZCTA5 13039,61024673,18438,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,61024673,18438
221704257879111,13040,ZCTA5 13040,258420323,1376071,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,258420323,1376071
221704257879116,13041,ZCTA5 13041,46807086,1169262,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,46807086,1169262
221704257879118,13042,ZCTA5 13042,88946606,700334,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,86016226,687826
221704257879118,13042,ZCTA5 13042,88946606,700334,G6350,B5,S,27890695088003,3616188,Cleveland village,2930380,241687,G4110,C1,A,2930380,12508
221704257879122,13044,ZCTA5 13044,77899959,734246,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,70314149,716331
221704257879122,13044,ZCTA5 13044,77899959,734246,G6350,B5,S,28090695087994,3617893,Constantia CDP,7850761,17915,G4210,U1,S,7585810,17915
221704257879131,13045,ZCTA5 13045,279334353,875277,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,241892213,798616
221704257879131,13045,ZCTA5 13045,279334353,875277,G6350,B5,S,280903926956196,3606937,Blodgett Mills CDP,5630685,0,G4210,U1,S,4990985,0
221704257879131,13045,ZCTA5 13045,279334353,875277,G6350,B5,S,27890722549864,3618388,Cortland city,10085376,51890,G4110,C5,A,10085376,51890
221704257879131,13045,ZCTA5 13045,279334353,875277,G6350,B5,S,28090722549861,3618443,Cortland West CDP,13378790,0,G4210,U2,S,13378790,0
221704257879131,13045,ZCTA5 13045,279334353,875277,G6350,B5,S,27890722549865,3635276,Homer village,4986794,32383,G4110,C1,A,864801,0
221704257879131,13045,ZCTA5 13045,279334353,875277,G6350,B5,S,2809015682381965,3644358,McLean CDP,599627,8429,G4210,U1,S,67048,0
221704257879131,13045,ZCTA5 13045,279334353,875277,G6350,B5,S,28090722549863,3649242,Munsons Corners CDP,5740060,24771,G4210,U1,S,5740060,24771
221704257879131,13045,ZCTA5 13045,279334353,875277,G6350,B5,S,280905048341140,3677585,Virgil CDP,2315080,0,G4210,U1,S,2315080,0
221704257879132,13051,ZCTA5 13051,951162,0,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,951162,0
221704257879135,13052,ZCTA5 13052,153759087,2384761,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,152803728,2384761
221704257879135,13052,ZCTA5 13052,153759087,2384761,G6350,B5,S,27890737072431,3620390,DeRuyter village,955359,0,G4110,C1,A,955359,0
221704257879138,13053,ZCTA5 13053,90151180,634545,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,85602340,599536
221704257879138,13053,ZCTA5 13053,90151180,634545,G6350,B5,S,27890699381621,3620951,Dryden village,4548840,35009,G4110,C1,A,4548840,35009
221704257879139,13054,ZCTA5 13054,60005230,322225,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,56519384,322225
221704257879139,13054,ZCTA5 13054,60005230,322225,G6350,B5,S,280903939148954,3621226,Durhamville CDP,3553714,0,G4210,U1,S,3485846,0
221704257879144,13057,ZCTA5 13057,71748677,534339,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,66369822,534339
221704257879144,13057,ZCTA5 13057,71748677,534339,G6350,B5,S,2809015922351889,3620467,De Witt CDP,16798195,47513,G4210,U2,S,1127922,0
221704257879144,13057,ZCTA5 13057,71748677,534339,G6350,B5,S,278901392190539,3623052,East Syracuse village,4039633,0,G4110,C1,A,4039633,0
221704257879144,13057,ZCTA5 13057,71748677,534339,G6350,B5,S,278901392190547,3647757,Minoa village,3421226,0,G4110,C1,A,211300,0
221704257879145,13060,ZCTA5 13060,41849281,46324,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,39273921,46324
221704257879145,13060,ZCTA5 13060,41849281,46324,G6350,B5,S,278901392190540,3623789,Elbridge village,2575360,0,G4110,C1,A,2575360,0
221704257879146,13061,ZCTA5 13061,69968024,2672183,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,69968024,2672183
221704257879147,13062,ZCTA5 13062,1762941,111523,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,1762941,111523
221704257879148,13063,ZCTA5 13063,94782587,272669,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,93679243,272669
221704257879148,13063,ZCTA5 13063,94782587,272669,G6350,B5,S,278901392190541,3624867,Fabius village,1103344,0,G4110,C1,A,1103344,0
2217026265990913,13065,ZCTA5 13065,2285630,0,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,2285630,0
221704257879151,13066,ZCTA5 13066,38314472,761967,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,33822088,761967
221704257879151,13066,ZCTA5 13066,38314472,761967,G6350,B5,S,278901392190542,3625527,Fayetteville village,4492384,0,G4110,C1,A,4492384,0
221704257879153,13068,ZCTA5 13068,131021568,670182,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,127898624,568139
221704257879153,13068,ZCTA5 13068,131021568,670182,G6350,B5,S,27890699381622,3627529,Freeville village,2741099,96536,G4110,C1,A,2741099,96536
221704257879153,13068,ZCTA5 13068,131021568,670182,G6350,B5,S,2809015682381965,3644358,McLean CDP,599627,8429,G4210,U1,S,381845,5507
221704257879161,13069,ZCTA5 13069,284528803,9639674,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,273599258,6606313
221704257879161,13069,ZCTA5 13069,284528803,9639674,G6350,B5,S,27890695088004,3627815,Fulton city,10161074,2694816,G4110,C5,A,10161074,2694816
221704257879161,13069,ZCTA5 13069,284528803,9639674,G6350,B5,S,28090695087995,3647680,Minetto CDP,9718715,680032,G4210,U1,S,768471,338545
221704257879162,13071,ZCTA5 13071,62522254,63562,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,62522254,63562
221704257879163,13072,ZCTA5 13072,119871254,46852,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,119871254,46852
221704257879166,13073,ZCTA5 13073,142621328,304321,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,138121390,301778
221704257879166,13073,ZCTA5 13073,142621328,304321,G6350,B5,S,27890699381623,3630961,Groton village,4499938,2543,G4110,C1,A,4499938,2543
221704257879170,13074,ZCTA5 13074,109555729,443349,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,106571016,443349
221704257879170,13074,ZCTA5 13074,109555729,443349,G6350,B5,S,27890695088005,3632017,Hannibal village,2984713,0,G4110,C1,A,2984713,0
221704257879171,13076,ZCTA5 13076,38636789,56625,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,38636789,56625
221704257879173,13077,ZCTA5 13077,177776657,978561,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,173654664,946178
221704257879173,13077,ZCTA5 13077,177776657,978561,G6350,B5,S,27890722549865,3635276,Homer village,4986794,32383,G4110,C1,A,4121993,32383
221704257879178,13078,ZCTA5 13078,99829619,1157963,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,94247337,1130477
221704257879178,13078,ZCTA5 13078,99829619,1157963,G6350,B5,S,2809015922351889,3620467,De Witt CDP,16798195,47513,G4210,U2,S,5582282,27486
221704257879179,13080,ZCTA5 13080,73012294,6169137,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,69996919,6169137
221704257879179,13080,ZCTA5 13080,73012294,6169137,G6350,B5,S,278901392190543,3638825,Jordan village,3015375,0,G4110,C1,A,3015375,0
221704257879180,13081,ZCTA5 13081,74312736,30752,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,74312736,30752
221704257879183,13082,ZCTA5 13082,63051194,997327,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,62147863,989835
221704257879183,13082,ZCTA5 13082,63051194,997327,G6350,B5,S,28090737069690,3608147,Bridgeport CDP,4991426,39203,G4210,U1,S,903331,7492
221704257879186,13083,ZCTA5 13083,154362542,166057,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,151037332,158308
221704257879186,13083,ZCTA5 13083,154362542,166057,G6350,B5,S,27890695088006,3640200,Lacona village,2880946,7749,G4110,C1,A,2880946,7749
221704257879186,13083,ZCTA5 13083,154362542,166057,G6350,B5,S,27890695088012,3665068,Sandy Creek village,3493656,0,G4110,C1,A,444264,0
221704257879193,13084,ZCTA5 13084,110190858,29632,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,110190858,29632
