ESTAB,NAICS2017,zip,year
25,44-45,12184,2022
12,44-45,12186,2022
19,44-45,12188,2022
29,44-45,12189,2022
18,44-45,12192,2022
5,44-45,12193,2022
8,44-45,12196,2022
3,44-45,12197,2022
16,44-45,12198,2022
30,44-45,12202,2022
183,44-45,12203,2022
25,44-45,12204,2022
283,44-45,12205,2022
100,44-45,12206,2022
41,44-45,12207,2022
31,44-45,12208,2022
18,44-45,12209,2022
33,44-45,12210,2022
17,44-45,12211,2022
3,44-45,12212,2022
3,44-45,12250,2022
79,44-45,12302,2022
66,44-45,12303,2022
103,44-45,12304,2022
30,44-45,12305,2022
65,44-45,12306,2022
25,44-45,12307,2022
26,44-45,12308,2022
41,44-45,12309,2022
13,72,12025,2022
5,72,12032,2022
16,72,12037,2022
22,72,12043,2022
3,72,12058,2022
143,72,12065,2022
7,72,12074,2022
16,72,12084,2022
3,72,12089,2022
10,72,12090,2022
3,72,12093,2022
11,72,12106,2022
3,72,12108,2022
9,72,12125,2022
3,72,12148,2022
7,72,12154,2022
8,72,12164,2022
9,72,12167,2022
9,72,12196,2022
14,72,12198,2022
17,72,12009,2022
79,72,12010,2022
5,72,12015,2022
8,72,12018,2022
9,72,12019,2022
82,72,12020,2022
17,72,12033,2022
7,72,12027,2022
34,72,12047,2022
7,72,12051,2022
38,72,12054,2022
8,72,12056,2022
27,72,12061,2022
3,72,12067,2022
7,72,12068,2022
5,72,12072,2022
6,72,12075,2022
39,72,12078,2022
27,72,12077,2022
20,72,12083,2022
33,72,12095,2022
123,72,12110,2022
8,72,12117,2022
13,72,12118,2022
11,72,12122,2022
6,72,12123,2022
13,72,12134,2022
12,72,12143,2022
60,72,12144,2022
9,72,12157,2022
4,72,12158,2022
13,72,12159,2022
180,72,12180,2022
25,72,12182,2022
12,72,12188,2022
16,72,12184,2022
8,72,12186,2022
23,72,12189,2022
17,72,12192,2022
116,72,12203,2022
22,72,12222,2022
46,72,12303,2022
10,72,12202,2022
27,72,12204,2022
159,72,12205,2022
61,72,12206,2022
75,72,12207,2022
68,72,12208,2022
17,72,12209,2022
61,72,12210,2022
25,72,12211,2022
64,72,12302,2022
4,72,12242,2022
55,72,12304,2022
55,72,12305,2022
54,72,12306,2022
12,72,12307,2022
26,72,12308,2022
38,72,12309,2022
11,44-45,12051,2023
3,44-45,12060,2023
15,44-45,12018,2023
76,44-45,12144,2023
6,44-45,12157,2023
186,44-45,12203,2023
15,44-45,12209,2023
3,44-45,12076,2023
22,44-45,12184,2023
15,44-45,12027,2023
63,44-45,12095,2023
6,44-45,12053,2023
30,44-45,12061,2023
16,44-45,12192,2023
4,44-45,12052,2023
14,44-45,12122,2023
159,44-45,12180,2023
33,44-45,12077,2023
5,44-45,12158,2023
36,44-45,12210,2023
21,44-45,12019,2023
7,44-45,12029,2023
5,44-45,12032,2023
41,44-45,12054,2023
11,44-45,12123,2023
18,44-45,12083,2023
287,44-45,12205,2023
103,44-45,12304,2023
14,44-45,12159,2023
13,44-45,12186,2023
10,44-45,12196,2023
26,44-45,12204,2023
49,44-45,12207,2023
3,44-45,12212,2023
24,44-45,12307,2023
23,44-45,12033,2023
13,44-45,12125,2023
3,44-45,12197,2023
32,44-45,12208,2023
19,44-45,12084,2023
5,44-45,12066,2023
16,44-45,12198,2023
3,44-45,12250,2023
27,44-45,12308,2023
20,44-45,12009,2023
52,44-45,12047,2023
13,44-45,12117,2023
16,44-45,12134,2023
19,44-45,12188,2023
94,44-45,12206,2023
68,44-45,12303,2023
9,44-45,12068,2023
5,44-45,12160,2023
3,44-45,12062,2023
64,44-45,12078,2023
80,44-45,12302,2023
6,44-45,12106,2023
5,44-45,12148,2023
6,44-45,12164,2023
3,44-45,12166,2023
4,44-45,12137,2023
29,44-45,12182,2023
28,44-45,12037,2023
3,44-45,12140,2023
15,44-45,12167,2023
3,44-45,12035,2023
6,44-45,12072,2023
4,44-45,12085,2023
26,44-45,12202,2023
70,44-45,12306,2023
4,44-45,12087,2023
4,44-45,12089,2023
5,44-45,12149,2023
3,44-45,12151,2023
6,44-45,12168,2023
27,44-45,12118,2023
18,44-45,12143,2023
85,44-45,12020,2023
3,44-45,12022,2023
8,44-45,12074,2023
4,44-45,12170,2023
165,44-45,12065,2023
24,44-45,12090,2023
30,44-45,12189,2023
15,44-45,12211,2023
8,44-45,12015,2023
9,44-45,12025,2023
9,44-45,12183,2023
4,44-45,12056,2023
10,44-45,12154,2023
113,44-45,12010,2023
43,44-45,12043,2023
3,44-45,12059,2023
4,44-45,12075,2023
159,44-45,12110,2023
28,44-45,12305,2023
42,44-45,12309,2023
126,72,12203,2023
7,72,12075,2023
24,72,12189,2023
158,72,12205,2023
61,72,12206,2023
48,72,12303,2023
8,72,12051,2023
9,72,12157,2023
9,72,12018,2023
38,72,12078,2023
8,72,12027,2023
144,72,12065,2023
3,72,12076,2023
125,72,12110,2023
76,72,12207,2023
19,72,12209,2023
51,72,12306,2023
11,72,12122,2023
25,72,12211,2023
66,72,12302,2023
189,72,12180,2023
13,72,12184,2023
15,72,12192,2023
22,72,12043,2023
3,72,12193,2023
3,72,12158,2023
5,72,12032,2023
30,72,12077,2023
5,72,12123,2023
14,72,12222,2023
18,72,12083,2023
8,72,12125,2023
9,72,12196,2023
4,72,12242,2023
13,72,12307,2023
28,72,12061,2023
10,72,12186,2023
62,72,12305,2023
3,72,12066,2023
62,72,12144,2023
11,72,12019,2023
38,72,12309,2023
4,72,12067,2023
32,72,12095,2023
14,72,12159,2023
79,72,12020,2023
14,72,12033,2023
16,72,12084,2023
8,72,12117,2023
14,72,12134,2023
13,72,12198,2023
60,72,12210,2023
7,72,12068,2023
8,72,12164,2023
20,72,12204,2023
3,72,12086,2023
12,72,12106,2023
10,72,12167,2023
10,72,12188,2023
18,72,12009,2023
81,72,12010,2023
38,72,12054,2023
3,72,12148,2023
4,72,12072,2023
3,72,12089,2023
4,72,12149,2023
23,72,12182,2023
50,72,12304,2023
24,72,12308,2023
33,72,12047,2023
11,72,12143,2023
68,72,12208,2023
7,72,12074,2023
8,72,12154,2023
15,72,12037,2023
7,72,12056,2023
11,72,12090,2023
10,72,12202,2023
4,72,12015,2023
3,72,12058,2023
3,72,12183,2023
11,72,12025,2023
3,72,12093,2023
12,72,12118,2023
