text,url
October 2024: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2024-10-1890.xlsx
September 2024: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2024-09-1889.xlsx
September 2024: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2024-09-1888.xlsx
August 2024: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2024-08-1887.xlsx
August 2024: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2024-08-1886.xlsx
July 2024: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2024-07-1885.xlsx
July 2024: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2024-07-1884.xlsx
June 2024: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2024-06-1883.xlsx
June 2024: second early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2024-06-1882.xlsx
June 2024: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2024-06-1881.xlsx
May 2024: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2024-05-1880.xlsx
May 2024: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2024-05-1879.xlsx
April 2024: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2024-04-1878.xlsx
April 2024: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2024-04-1877.xlsx
March 2024: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2024-03-1876.xlsx
March 2024: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2024-03-1875.xlsx
February 2024: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2024-02-1874.xlsx
February 2024: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2024-02-1873.xlsx
January 2024: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2024-01-1872.xlsx
January 2024: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2024-01-1871.xlsx
December 2023: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-12-1870.xlsx
December 2023: second early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-12-1869.xlsx
December 2023: first early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-12-1868.xlsx
November 2023: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-11-1867.xlsx
