roll_year,county_name,municipality_name,municipality_code,roll_section,property_class,property_class_description,fmv,ctv,av,n
2025,Albany,Albany,010100,1,210,One Family Year-Round Residence,3543218257,3241730984,3401489482,13442
2025,Albany,Albany,010100,1,215,One Family Year-Round Residence with Accessory Apartment,7368750,6715280,7074000,23
2025,Albany,Albany,010100,1,220,Two Family Year-Round Residence,1251617673,1173917661,1201552983,5871
2025,Albany,Albany,010100,1,230,Three Family Year-Round Residence,284436249,270048745,273058800,1167
2025,Albany,Albany,010100,1,270,Mobile Home,129688,124500,124500,3
2025,Albany,Albany,010100,1,280,Residential - Multi_Purpose/Multi-Structure,6783441,6512100,6512100,26
2025,Albany,Albany,010100,1,281,Multiple Residences,338646,325100,325100,1
2025,Albany,Albany,010100,1,310,Residential,26667,25600,25600,1
2025,Albany,Albany,010100,1,311,Residential Vacant Land,36678330,34500720,35210940,2283
2025,Albany,Albany,010100,1,312,Residential Land Including a Small Improvement,4593758,4317000,4410000,257
2025,Albany,Albany,010100,1,330,Vacant Land Located in Commercial Areas,26778658,25665500,25707500,213
2025,Albany,Albany,010100,1,331,Commercial Vacant with minor improvements,1247083,1197200,1197200,14
2025,Albany,Albany,010100,1,340,Vacant Land Located in Industrial Areas,9517015,9135330,9136330,79
2025,Albany,Albany,010100,1,341,Industrial Vacant with minor improvements,11118751,10674000,10674000,13
2025,Albany,Albany,010100,1,411,Apartments,623348821,552926040,598414799,974
2025,Albany,Albany,010100,1,414,Hotel,107630939,103325700,103325700,12
2025,Albany,Albany,010100,1,415,Motel,4666667,4480000,4480000,2
2025,Albany,Albany,010100,1,418,"Inns, Lodges, Boarding Houses, Tourist Homes, Fraternity and Sorority Homes",3608540,3464200,3464200,6
2025,Albany,Albany,010100,1,421,Restaurants,11443032,10985310,10985310,21
2025,Albany,Albany,010100,1,422,Diners and Luncheonettes,3476876,3337800,3337800,8
2025,Albany,Albany,010100,1,424,Night Clubs,1695312,1627500,1627500,2
2025,Albany,Albany,010100,1,425,Bar,4295939,4124100,4124100,11
2025,Albany,Albany,010100,1,426,Fast Food Franchises,17381980,16344000,16686700,15
2025,Albany,Albany,010100,1,430,Motor Vehicle Services,1227083,1178000,1178000,1
2025,Albany,Albany,010100,1,431,Auto Dealers - Sales and Service,33804065,32451900,32451900,23
2025,Albany,Albany,010100,1,432,Service and Gas Stations,30145939,28940100,28940100,24
2025,Albany,Albany,010100,1,433,"Auto Body, Tire Shops, Other Related Auto Sales",37194379,35706600,35706600,88
2025,Albany,Albany,010100,1,434,Automatic Car Wash,957708,919400,919400,2
2025,Albany,Albany,010100,1,437,Parking Garage,8363021,8028500,8028500,3
2025,Albany,Albany,010100,1,438,Parking Lot,37734809,35790030,36225400,336
2025,Albany,Albany,010100,1,439,Small Parking Garage,1018752,978000,978000,19
2025,Albany,Albany,010100,1,440,"Storage, Warehouse and Distribution Facilities",16196980,15549100,15549100,7
2025,Albany,Albany,010100,1,441,Fuel Storage and Distribution Facilities,22162915,21276400,21276400,5
2025,Albany,Albany,010100,1,442,Mini Warehouse (Self-Service Storage),11573958,11111000,11111000,1
2025,Albany,Albany,010100,1,443,"Grain and Feed Elevators, Mixers, Sales Outlets",2856250,2742000,2742000,1
2025,Albany,Albany,010100,1,447,Trucking Terminals,3110417,2986000,2986000,4
2025,Albany,Albany,010100,1,449,"Other Storage, Warehouse and Distribution Facilities",290887042,265049275,279251545,255
2025,Albany,Albany,010100,1,450,Retail Services,10657083,7969967,10230800,2
2025,Albany,Albany,010100,1,451,Regional Shopping Centers,52804792,50692600,50692600,3
2025,Albany,Albany,010100,1,452,Area of Neighborhood Shopping Centers,28442710,27305000,27305000,7
2025,Albany,Albany,010100,1,453,Large Retail Outlets,40038750,38437200,38437200,6
2025,Albany,Albany,010100,1,454,Large Retail Food Stores,33321772,31988900,31988900,7
2025,Albany,Albany,010100,1,457,Small Retail,136979,131500,131500,1
2025,Albany,Albany,010100,1,461,Standard Bank/Single Occupant,905208,869000,869000,1
2025,Albany,Albany,010100,1,462,Drive-In Branch Bank,8756042,8362199,8405800,10
2025,Albany,Albany,010100,1,463,Bank Complex with Office Building,14266667,13696000,13696000,3
2025,Albany,Albany,010100,1,464,Office Building,463777656,416650664,445226544,195
2025,Albany,Albany,010100,1,465,Professional Building,28212292,27083800,27083800,16
2025,Albany,Albany,010100,1,470,Miscellaneous Services,390729,375100,375100,1
2025,Albany,Albany,010100,1,471,Funeral Homes,4585105,4401700,4401700,8
2025,Albany,Albany,010100,1,472,"Dog Kennels, Veterinary Clinics",1314167,1261600,1261600,3
2025,Albany,Albany,010100,1,474,Billboards,1075000,1032000,1032000,2
2025,Albany,Albany,010100,1,475,Junkyards,227083,218000,218000,2
2025,Albany,Albany,010100,1,480,Multiple Use or Multipurpose,1241250,1191600,1191600,4
2025,Albany,Albany,010100,1,481,Downtown Row Type (with common wall),167738972,155340193,161029400,538
2025,Albany,Albany,010100,1,482,Downtown Row Type (detached),43315528,40791379,41582900,148
2025,Albany,Albany,010100,1,483,Converted Residence,31663961,30307977,30397400,116
2025,Albany,Albany,010100,1,484,One Story Small Structure,42509691,40642317,40809300,137
2025,Albany,Albany,010100,1,485,One Story Small Structure - Multi occupant,19652918,18866800,18866800,35
2025,Albany,Albany,010100,1,486,Minimart,5223958,5015000,5015000,8
2025,Albany,Albany,010100,1,511,Legitimate Theaters,1653125,1587000,1587000,1
2025,Albany,Albany,010100,1,512,Motion Picture Theaters (excludes drive-in theaters),2087396,2003900,2003900,2
2025,Albany,Albany,010100,1,515,"Radio, T.V. and Motion Picture Studios",7363125,7068600,7068600,4
2025,Albany,Albany,010100,1,521,"Stadiums, Arenas, Armories, Field Houses",70875000,5417200,68040000,2
2025,Albany,Albany,010100,1,532,Amusement Parks,680208,653000,653000,1
2025,Albany,Albany,010100,1,534,Social Organizations,11790104,10627910,11318500,8
2025,Albany,Albany,010100,1,540,Indoor Sports Facilities,10869480,2544500,10434700,2
2025,Albany,Albany,010100,1,544,Health Spas,175000,168000,168000,1
2025,Albany,Albany,010100,1,546,Other Indoor Sports,554479,532300,532300,1
2025,Albany,Albany,010100,1,570,Marinas,672917,646000,646000,1
2025,Albany,Albany,010100,1,612,Schools,1921875,1845000,1845000,4
2025,Albany,Albany,010100,1,614,Special Schools and Institutions,645417,619600,619600,2
2025,Albany,Albany,010100,1,615,Other Educational Facilities,1309272,1256900,1256900,4
2025,Albany,Albany,010100,1,620,Religious,14873934,6240361,14278975,19
2025,Albany,Albany,010100,1,631,Orphanages,203542,195400,195400,1
2025,Albany,Albany,010100,1,632,Benevolent and Moral Associations,3516557,1248782,3375895,2
2025,Albany,Albany,010100,1,633,Homes for the Aged,41496146,39836300,39836300,3
2025,Albany,Albany,010100,1,642,All Other Health Facilities,10790979,6972844,10359340,3
2025,Albany,Albany,010100,1,681,Cultural Facilities,854688,593400,820500,2
2025,Albany,Albany,010100,1,692,"Roads, Streets, Highways and Parkways, Express or Otherwise Including Adjoining Land",329689,316500,316500,8
2025,Albany,Albany,010100,1,695,Cemeteries,579792,556600,556600,1
2025,Albany,Albany,010100,1,710,Manufacturing and Processing,35143957,32143000,33738200,14
2025,Albany,Albany,010100,1,720,Mining and Quarrying,466667,448000,448000,2
2025,Albany,Albany,010100,1,744,Petroleum Products,16346667,15692800,15692800,1
2025,Albany,Albany,010100,1,831,Telephone Facility,818459,785721,785721,1
2025,Albany,Albany,010100,1,834,Television other than Community Antenna Television,452767,434656,434656,1
2025,Albany,Albany,010100,1,837,Cellular Telephone Towers,1135858,1090424,1090424,1
2025,Albany,Albany,010100,1,841,Motor Vehicle,1848580,1774637,1774637,2
2025,Albany,Albany,010100,1,843,Nonceiling Railroad,24271,23300,23300,1
2025,Albany,Albany,010100,1,853,Sewage Treatment and Water Pollution Control,1018872,195623,978117,1
2025,Albany,Albany,010100,5,831,Telephone Facility,4367275,4192583,4192583,4
2025,Albany,Albany,010100,5,836,Telephone Outside Plant,763491,732952,732952,2
2025,Albany,Albany,010100,5,860,Special Franchise Property,3539110,3397545,3397545,7
2025,Albany,Albany,010100,5,861,Electric and Gas,278229217,267100048,267100048,1
2025,Albany,Albany,010100,5,866,Telephone,25981361,24942107,24942107,15
2025,Albany,Albany,010100,6,380,Public Utility Vacant Land,2345003,2251200,2251200,24
2025,Albany,Albany,010100,6,831,Telephone Facility,4055069,3892866,3892866,4
2025,Albany,Albany,010100,6,836,Telephone Outside Plant,7932165,7614876,7614876,21
2025,Albany,Albany,010100,6,843,Nonceiling Railroad,64792,62200,62200,2
2025,Albany,Albany,010100,6,866,Telephone,10199,9791,9791,1
2025,Albany,Albany,010100,6,871,Electric and Gas Facilities,8852741,8498631,8498631,1
2025,Albany,Albany,010100,6,872,Electric Substation,22183644,21296298,21296298,18
2025,Albany,Albany,010100,6,873,Gas Measuring and Regulating Station,11144175,10698408,10698408,18
2025,Albany,Albany,010100,6,882,Electric Transmission,20123115,19318191,19318191,23
2025,Albany,Albany,010100,6,883,Gas Transmission,10903921,10467764,10467764,4
2025,Albany,Albany,010100,6,884,Electric Distribution (Outside Plant Property),58006605,55686341,55686341,1
2025,Albany,Albany,010100,6,885,Gas Distribution (Outside Plant Property),516182,495535,495535,1
2025,Albany,Albany,010100,7,441,Fuel Storage and Distribution Facilities,3907656,3751350,3751350,1
2025,Albany,Albany,010100,7,842,Ceiling Railroad,29876614,28681545,28681545,19
2025,Albany,Albany,010100,8,210,One Family Year-Round Residence,34598962,0,33215000,133
2025,Albany,Albany,010100,8,220,Two Family Year-Round Residence,25835096,0,24801700,135
2025,Albany,Albany,010100,8,230,Three Family Year-Round Residence,24973437,0,23974500,113
2025,Albany,Albany,010100,8,250,Estate,4036563,0,3875100,1
2025,Albany,Albany,010100,8,270,Mobile Home,67083,0,64400,1
2025,Albany,Albany,010100,8,280,Residential - Multi_Purpose/Multi-Structure,9801771,0,9409700,9
2025,Albany,Albany,010100,8,281,Multiple Residences,1276875,0,1225800,1
2025,Albany,Albany,010100,8,300,Vacant Land,3125,0,3000,1
2025,Albany,Albany,010100,8,311,Residential Vacant Land,62125355,0,58838620,1026
2025,Albany,Albany,010100,8,312,Residential Land Including a Small Improvement,2031252,0,1950000,19
2025,Albany,Albany,010100,8,330,Vacant Land Located in Commercial Areas,446173027,0,428326100,171
2025,Albany,Albany,010100,8,331,Commercial Vacant with minor improvements,959375,0,921000,6
2025,Albany,Albany,010100,8,340,Vacant Land Located in Industrial Areas,56899183,0,54623210,56
2025,Albany,Albany,010100,8,341,Industrial Vacant with minor improvements,137500,0,132000,2
2025,Albany,Albany,010100,8,411,Apartments,568530069,0,545788860,163
2025,Albany,Albany,010100,8,414,Hotel,36311667,0,34859200,2
2025,Albany,Albany,010100,8,418,"Inns, Lodges, Boarding Houses, Tourist Homes, Fraternity and Sorority Homes",2556875,0,2454600,4
2025,Albany,Albany,010100,8,424,Night Clubs,2266667,0,2176000,1
2025,Albany,Albany,010100,8,430,Motor Vehicle Services,277604,0,266500,1
2025,Albany,Albany,010100,8,437,Parking Garage,244953542,0,235155400,15
2025,Albany,Albany,010100,8,438,Parking Lot,110807378,0,106375070,141
2025,Albany,Albany,010100,8,439,Small Parking Garage,160729,0,154300,1
2025,Albany,Albany,010100,8,443,"Grain and Feed Elevators, Mixers, Sales Outlets",3635000,0,3489600,1
2025,Albany,Albany,010100,8,449,"Other Storage, Warehouse and Distribution Facilities",18386357,0,17650900,19
2025,Albany,Albany,010100,8,454,Large Retail Food Stores,878958,0,843800,1
2025,Albany,Albany,010100,8,464,Office Building,234577403,0,225194300,95
2025,Albany,Albany,010100,8,465,Professional Building,9364792,0,8990200,8
2025,Albany,Albany,010100,8,481,Downtown Row Type (with common wall),15917816,0,15281100,51
2025,Albany,Albany,010100,8,482,Downtown Row Type (detached),8058647,0,7736300,9
2025,Albany,Albany,010100,8,483,Converted Residence,540208,0,518600,3
2025,Albany,Albany,010100,8,484,One Story Small Structure,2512395,0,2411900,9
2025,Albany,Albany,010100,8,485,One Story Small Structure - Multi occupant,641771,0,616100,1
2025,Albany,Albany,010100,8,500,Recreation and Entertainment,5710130,0,5481725,1
2025,Albany,Albany,010100,8,511,Legitimate Theaters,21759573,0,20889190,4
2025,Albany,Albany,010100,8,515,"Radio, T.V. and Motion Picture Studios",1661047,0,1594605,2
2025,Albany,Albany,010100,8,534,Social Organizations,14258950,0,13688590,12
2025,Albany,Albany,010100,8,543,"YMCA's, YWCA's, etc.",1754760,0,1684570,1
2025,Albany,Albany,010100,8,545,Indoor Swimming Pools,1372391,0,1317495,1
2025,Albany,Albany,010100,8,552,Public Golf Courses,57845458,0,55531640,1
2025,Albany,Albany,010100,8,554,Outdoor Swimming Pools,2078693,0,1995545,1
2025,Albany,Albany,010100,8,555,Riding Stables,98464,0,94525,1
2025,Albany,Albany,010100,8,590,Parks,84713,0,81325,2
2025,Albany,Albany,010100,8,591,Playgrounds,3417876,0,3281160,23
2025,Albany,Albany,010100,8,592,Athletic Fields,7977692,0,7658585,7
2025,Albany,Albany,010100,8,593,Picnic Grounds,458500,0,440160,4
2025,Albany,Albany,010100,8,611,Libraries,12247662,0,11757755,5
2025,Albany,Albany,010100,8,612,Schools,349805846,0,335813610,35
2025,Albany,Albany,010100,8,613,Colleges and Universities,1270289642,0,1219478055,68
2025,Albany,Albany,010100,8,614,Special Schools and Institutions,30940028,0,29702425,12
2025,Albany,Albany,010100,8,615,Other Educational Facilities,34765781,0,33375150,8
2025,Albany,Albany,010100,8,620,Religious,290008855,0,278408500,134
2025,Albany,Albany,010100,8,631,Orphanages,40422094,0,38805210,11
2025,Albany,Albany,010100,8,632,Benevolent and Moral Associations,11852270,0,11378180,7
2025,Albany,Albany,010100,8,633,Homes for the Aged,165082268,0,158478975,8
2025,Albany,Albany,010100,8,641,Hospitals,653809647,0,627657260,8
2025,Albany,Albany,010100,8,642,All Other Health Facilities,326776385,0,313705330,17
2025,Albany,Albany,010100,8,651,Highway Garage,13658365,0,13112030,1
2025,Albany,Albany,010100,8,652,Office Building,3189750162,0,3062160155,21
2025,Albany,Albany,010100,8,653,Parking Lots,571543,0,548680,10
2025,Albany,Albany,010100,8,661,"Army, Navy, Air Force, Marine and Coast Guard Installations, Radar, etc.",6074734,0,5831745,3
2025,Albany,Albany,010100,8,662,"Police and Fire Protection, Electrical Signal Equipment and Other Facilities for Fire, Police, Civil Defense, etc.",89665901,0,86079265,16
2025,Albany,Albany,010100,8,681,Cultural Facilities,303102547,0,290978445,9
2025,Albany,Albany,010100,8,682,Recreational Facilities,16204052,0,15555890,1
2025,Albany,Albany,010100,8,692,"Roads, Streets, Highways and Parkways, Express or Otherwise Including Adjoining Land",225922678,0,216885780,119
2025,Albany,Albany,010100,8,695,Cemeteries,2031572,0,1950310,5
2025,Albany,Albany,010100,8,710,Manufacturing and Processing,16801948,0,16129870,2
2025,Albany,Albany,010100,8,822,Water Supply,257627,0,247321,3
2025,Albany,Albany,010100,8,841,Motor Vehicle,17912094,0,17195611,3
2025,Albany,Albany,010100,8,845,Water,4556537,0,4374275,4
2025,Albany,Albany,010100,8,846,"Bridges, Tunnels and Subways",4196542,0,4028680,2
2025,Albany,Albany,010100,8,851,Solid Wastes,10060492,0,9658072,5
2025,Albany,Albany,010100,8,852,Landfills and Dumps,13201318,0,12673265,4
2025,Albany,Albany,010100,8,853,Sewage Treatment and Water Pollution Control,13812327,0,13259834,2
2025,Albany,Albany,010100,8,862,Water,2083691,0,2000343,1
2025,Albany,Albany,010100,8,882,Electric Transmission,89401,0,85825,2
2025,Albany,Albany,010100,8,912,Forest Land under Section 480-a of the Real Property Tax Law,13041693,0,12520025,2
2025,Albany,Albany,010100,8,961,"State Owned Public Parks, Recreation Areas and Other Multiple Uses",2349907,0,2255910,2
2025,Albany,Albany,010100,8,962,County Owned Public Parks and Recreation Areas,15457315,0,14839020,15
2025,Albany,Albany,010100,8,963,City/Town/Village Public Parks and Recreation Areas,20982433,0,20143135,65
2025,Albany,Cohoes,010300,1,105,Agricultural Vacant Land (Productive),670400,9897,226260,1
2025,Albany,Cohoes,010300,1,210,One Family Year-Round Residence,607820622,195898060,205139454,2455
2025,Albany,Cohoes,010300,1,215,One Family Year-Round Residence with Accessory Apartment,2537776,756534,856500,8
2025,Albany,Cohoes,010300,1,220,Two Family Year-Round Residence,218533732,70932415,73755140,1073
2025,Albany,Cohoes,010300,1,230,Three Family Year-Round Residence,46355847,15434830,15645100,209
2025,Albany,Cohoes,010300,1,270,Mobile Home,71407,24100,24100,1
2025,Albany,Cohoes,010300,1,280,Residential - Multi_Purpose/Multi-Structure,13560117,4518827,4576540,53
2025,Albany,Cohoes,010300,1,283,Residence with Incidental Commercial Use,556888,187950,187950,3
2025,Albany,Cohoes,010300,1,310,Residential,554665,179100,187200,11
2025,Albany,Cohoes,010300,1,311,Residential Vacant Land,8786197,2651692,2965342,378
2025,Albany,Cohoes,010300,1,312,Residential Land Including a Small Improvement,3014191,892290,1017290,64
2025,Albany,Cohoes,010300,1,330,Vacant Land Located in Commercial Areas,4882667,1634800,1647900,49
2025,Albany,Cohoes,010300,1,331,Commercial Vacant with minor improvements,1488437,502348,502348,17
2025,Albany,Cohoes,010300,1,340,Vacant Land Located in Industrial Areas,52148,17600,17600,2
2025,Albany,Cohoes,010300,1,411,Apartments,277512703,83930469,93660537,380
2025,Albany,Cohoes,010300,1,418,"Inns, Lodges, Boarding Houses, Tourist Homes, Fraternity and Sorority Homes",293926,99200,99200,2
2025,Albany,Cohoes,010300,1,422,Diners and Luncheonettes,555259,187400,187400,4
2025,Albany,Cohoes,010300,1,423,"Snack Bars, Drive-Ins, Ice Cream Bars",360296,121600,121600,1
2025,Albany,Cohoes,010300,1,424,Night Clubs,444444,150000,150000,1
2025,Albany,Cohoes,010300,1,425,Bar,844741,285100,285100,3
2025,Albany,Cohoes,010300,1,426,Fast Food Franchises,1733629,585100,585100,2
2025,Albany,Cohoes,010300,1,430,Motor Vehicle Services,494815,167000,167000,2
2025,Albany,Cohoes,010300,1,431,Auto Dealers - Sales and Service,798815,269600,269600,3
2025,Albany,Cohoes,010300,1,432,Service and Gas Stations,1143703,386000,386000,5
2025,Albany,Cohoes,010300,1,433,"Auto Body, Tire Shops, Other Related Auto Sales",3143703,1061000,1061000,8
2025,Albany,Cohoes,010300,1,434,Automatic Car Wash,2874666,720200,970200,2
2025,Albany,Cohoes,010300,1,438,Parking Lot,496889,167700,167700,1
2025,Albany,Cohoes,010300,1,439,Small Parking Garage,545481,184100,184100,5
2025,Albany,Cohoes,010300,1,440,"Storage, Warehouse and Distribution Facilities",1077037,363500,363500,4
2025,Albany,Cohoes,010300,1,444,"Lumber Yards, Sawmills",683259,230600,230600,1
2025,Albany,Cohoes,010300,1,449,"Other Storage, Warehouse and Distribution Facilities",12126741,4092775,4092775,21
2025,Albany,Cohoes,010300,1,452,Area of Neighborhood Shopping Centers,2962963,1000000,1000000,1
2025,Albany,Cohoes,010300,1,453,Large Retail Outlets,3330370,1124000,1124000,2
2025,Albany,Cohoes,010300,1,454,Large Retail Food Stores,1264296,426700,426700,1
2025,Albany,Cohoes,010300,1,455,Dealerships - Sales and Service (other than auto),912296,307900,307900,2
2025,Albany,Cohoes,010300,1,462,Drive-In Branch Bank,5304296,1790200,1790200,5
2025,Albany,Cohoes,010300,1,464,Office Building,9295734,3137310,3137310,7
2025,Albany,Cohoes,010300,1,465,Professional Building,4228204,1427019,1427019,5
2025,Albany,Cohoes,010300,1,471,Funeral Homes,1632592,551000,551000,3
2025,Albany,Cohoes,010300,1,473,Greenhouses,827556,279300,279300,1
2025,Albany,Cohoes,010300,1,475,Junkyards,1638814,553100,553100,2
2025,Albany,Cohoes,010300,1,480,Multiple Use or Multipurpose,3213334,1084500,1084500,7
2025,Albany,Cohoes,010300,1,481,Downtown Row Type (with common wall),7701099,2599121,2599121,19
2025,Albany,Cohoes,010300,1,482,Downtown Row Type (detached),23030221,7772700,7772700,69
2025,Albany,Cohoes,010300,1,483,Converted Residence,783407,264400,264400,4
2025,Albany,Cohoes,010300,1,484,One Story Small Structure,4920889,1660800,1660800,9
2025,Albany,Cohoes,010300,1,485,One Story Small Structure - Multi occupant,562371,189800,189800,2
2025,Albany,Cohoes,010300,1,486,Minimart,8166901,2756329,2756329,9
2025,Albany,Cohoes,010300,1,514,"Auditoriums, Exhibition and Exposition Halls",250667,84600,84600,1
2025,Albany,Cohoes,010300,1,534,Social Organizations,2406518,812200,812200,6
2025,Albany,Cohoes,010300,1,541,Bowling Centers,995556,336000,336000,1
2025,Albany,Cohoes,010300,1,553,Private Golf Country Clubs,1856593,626600,626600,1
2025,Albany,Cohoes,010300,1,554,Outdoor Swimming Pools,406519,137200,137200,1
2025,Albany,Cohoes,010300,1,570,Marinas,273185,92200,92200,1
2025,Albany,Cohoes,010300,1,620,Religious,1058519,357250,357250,1
2025,Albany,Cohoes,010300,1,682,Recreational Facilities,681481,230000,230000,1
2025,Albany,Cohoes,010300,1,692,"Roads, Streets, Highways and Parkways, Express or Otherwise Including Adjoining Land",145777,49200,49200,4
2025,Albany,Cohoes,010300,1,710,Manufacturing and Processing,7467813,2520387,2520387,2
2025,Albany,Cohoes,010300,1,712,High Tech. Manufacturing and Processing,8592593,2900000,2900000,1
2025,Albany,Cohoes,010300,1,714,Light Industrial Manufacturing and Processing,3211853,1084000,1084000,5
2025,Albany,Cohoes,010300,1,837,Cellular Telephone Towers,1490369,503000,503000,6
2025,Albany,Cohoes,010300,5,830,Communication,510708,172364,172364,4
2025,Albany,Cohoes,010300,5,861,Electric and Gas,34838201,11757893,11757893,1
2025,Albany,Cohoes,010300,5,866,Telephone,1164705,393088,393088,1
2025,Albany,Cohoes,010300,5,869,Television,368654,124421,124421,2
2025,Albany,Cohoes,010300,6,330,Vacant Land Located in Commercial Areas,4741,1600,1600,1
2025,Albany,Cohoes,010300,6,833,Radio,508148,171500,171500,1
2025,Albany,Cohoes,010300,6,836,Telephone Outside Plant,1232075,415825,415825,8
2025,Albany,Cohoes,010300,6,872,Electric Substation,4417570,1490930,1490930,1
2025,Albany,Cohoes,010300,6,873,Gas Measuring and Regulating Station,479318,161770,161770,4
2025,Albany,Cohoes,010300,6,874,Electric Power Generation Facility - Hydro,90007484,30377526,30377526,3
2025,Albany,Cohoes,010300,6,882,Electric Transmission,1211037,408725,408725,9
2025,Albany,Cohoes,010300,6,884,Electric Distribution (Outside Plant Property),2996142,1011198,1011198,1
2025,Albany,Cohoes,010300,6,885,Gas Distribution (Outside Plant Property),696865,235192,235192,1
2025,Albany,Cohoes,010300,7,842,Ceiling Railroad,12002258,750507,4050762,1
2025,Albany,Cohoes,010300,8,210,One Family Year-Round Residence,1808001,0,610200,6
2025,Albany,Cohoes,010300,8,220,Two Family Year-Round Residence,1749455,0,590441,7
2025,Albany,Cohoes,010300,8,280,Residential - Multi_Purpose/Multi-Structure,343111,0,115800,1
2025,Albany,Cohoes,010300,8,310,Residential,17481,0,5900,1
2025,Albany,Cohoes,010300,8,311,Residential Vacant Land,1600594,0,540200,77
2025,Albany,Cohoes,010300,8,330,Vacant Land Located in Commercial Areas,2202371,0,743300,28
2025,Albany,Cohoes,010300,8,331,Commercial Vacant with minor improvements,1497187,0,505300,14
2025,Albany,Cohoes,010300,8,411,Apartments,96749309,0,32652892,16
2025,Albany,Cohoes,010300,8,433,"Auto Body, Tire Shops, Other Related Auto Sales",340741,0,115000,1
2025,Albany,Cohoes,010300,8,438,Parking Lot,88889,0,30000,1
2025,Albany,Cohoes,010300,8,439,Small Parking Garage,105185,0,35500,1
2025,Albany,Cohoes,010300,8,480,Multiple Use or Multipurpose,3657360,0,1234359,1
2025,Albany,Cohoes,010300,8,534,Social Organizations,213037,0,71900,1
2025,Albany,Cohoes,010300,8,611,Libraries,6337482,0,2138900,2
2025,Albany,Cohoes,010300,8,612,Schools,119066485,0,40184939,6
2025,Albany,Cohoes,010300,8,620,Religious,7416207,0,2502970,15
2025,Albany,Cohoes,010300,8,642,All Other Health Facilities,38358815,0,12946100,4
2025,Albany,Cohoes,010300,8,651,Highway Garage,1138371,0,384200,2
2025,Albany,Cohoes,010300,8,652,Office Building,9521778,0,3213600,2
2025,Albany,Cohoes,010300,8,653,Parking Lots,197926,0,66800,2
2025,Albany,Cohoes,010300,8,662,"Police and Fire Protection, Electrical Signal Equipment and Other Facilities for Fire, Police, Civil Defense, etc.",4048000,0,1366200,2
2025,Albany,Cohoes,010300,8,681,Cultural Facilities,2514074,0,848500,1
2025,Albany,Cohoes,010300,8,682,Recreational Facilities,2735704,0,923300,2
2025,Albany,Cohoes,010300,8,691,Professional Associations,632296,0,213400,1
2025,Albany,Cohoes,010300,8,692,"Roads, Streets, Highways and Parkways, Express or Otherwise Including Adjoining Land",2278521,0,769000,18
2025,Albany,Cohoes,010300,8,695,Cemeteries,350815,0,118400,4
2025,Albany,Cohoes,010300,8,822,Water Supply,21323259,0,7196600,4
2025,Albany,Cohoes,010300,8,961,"State Owned Public Parks, Recreation Areas and Other Multiple Uses",3241778,0,1094100,6
2025,Albany,Cohoes,010300,8,963,City/Town/Village Public Parks and Recreation Areas,10806220,0,3647100,37
2025,Albany,Watervliet,011800,1,210,One Family Year-Round Residence,242145389,136163897,142429925,1150
2025,Albany,Watervliet,011800,1,215,One Family Year-Round Residence with Accessory Apartment,422645,248600,248600,2
2025,Albany,Watervliet,011800,1,220,Two Family Year-Round Residence,212092488,121264630,124752800,1019
2025,Albany,Watervliet,011800,1,230,Three Family Year-Round Residence,28433947,16656969,16724850,127
2025,Albany,Watervliet,011800,1,280,Residential - Multi_Purpose/Multi-Structure,5464469,3214200,3214200,19
2025,Albany,Watervliet,011800,1,281,Multiple Residences,321999,189400,189400,1
2025,Albany,Watervliet,011800,1,283,Residence with Incidental Commercial Use,435226,195250,256000,2
2025,Albany,Watervliet,011800,1,310,Residential,124108,73000,73000,3
2025,Albany,Watervliet,011800,1,311,Residential Vacant Land,2161850,1114100,1271600,67
2025,Albany,Watervliet,011800,1,312,Residential Land Including a Small Improvement,793947,467000,467000,17
2025,Albany,Watervliet,011800,1,330,Vacant Land Located in Commercial Areas,830840,456900,488700,12
2025,Albany,Watervliet,011800,1,400,Commercial,771847,454000,454000,2
2025,Albany,Watervliet,011800,1,411,Apartments,67929283,39926326,39956000,108
2025,Albany,Watervliet,011800,1,421,Restaurants,1241074,730000,730000,2
2025,Albany,Watervliet,011800,1,422,Diners and Luncheonettes,347671,204500,204500,1
2025,Albany,Watervliet,011800,1,423,"Snack Bars, Drive-Ins, Ice Cream Bars",442027,260000,260000,1
2025,Albany,Watervliet,011800,1,425,Bar,1388133,816500,816500,4
2025,Albany,Watervliet,011800,1,426,Fast Food Franchises,2839170,1670000,1670000,3
2025,Albany,Watervliet,011800,1,431,Auto Dealers - Sales and Service,1298367,763700,763700,4
2025,Albany,Watervliet,011800,1,432,Service and Gas Stations,1649269,970100,970100,4
2025,Albany,Watervliet,011800,1,433,"Auto Body, Tire Shops, Other Related Auto Sales",3381332,1988900,1988900,9
2025,Albany,Watervliet,011800,1,438,Parking Lot,1241244,730100,730100,9
2025,Albany,Watervliet,011800,1,439,Small Parking Garage,262156,154200,154200,3
2025,Albany,Watervliet,011800,1,449,"Other Storage, Warehouse and Distribution Facilities",7206563,4238900,4238900,20
2025,Albany,Watervliet,011800,1,450,Retail Services,2720163,1600000,1600000,1
2025,Albany,Watervliet,011800,1,452,Area of Neighborhood Shopping Centers,3230194,1793200,1900000,1
2025,Albany,Watervliet,011800,1,453,Large Retail Outlets,3757225,2210000,2210000,1
2025,Albany,Watervliet,011800,1,454,Large Retail Food Stores,8840530,5139277,5200000,1
2025,Albany,Watervliet,011800,1,455,Dealerships - Sales and Service (other than auto),408024,240000,240000,1
