cty,stplc,C000,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,n_blocks
36009,3644226,66,0,0,0,0,0,0,22,30,0,4,0,1,0,0,0,0,0,7,2,0,4
36009,3654716,8129,0,0,42,204,1305,125,960,16,39,359,45,238,172,730,576,1917,157,729,244,271,127
36009,3657287,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,7,0,22,2
36009,3659498,516,0,0,0,5,63,5,33,0,3,4,6,4,2,0,309,9,0,31,26,16,10
36009,3660576,460,0,0,0,4,24,3,45,0,0,11,1,36,0,0,212,38,0,16,42,28,14
36009,3664551,2398,0,0,0,34,0,31,541,9,17,197,4,34,1,12,1098,55,0,278,87,0,15
36009,3664749,2167,3,0,9,19,143,6,287,16,8,22,26,31,0,81,385,122,679,129,128,73,43
36009,3668891,136,0,0,0,0,41,12,47,0,0,2,0,0,0,0,0,0,0,9,8,17,11
36009,3680632,527,0,16,0,3,219,68,112,5,0,0,0,1,0,5,0,34,0,10,45,9,15
36009,3681138,91,0,0,0,0,0,0,0,0,0,0,0,0,0,10,69,0,0,2,3,7,4
36009,3684044,541,0,0,0,17,0,0,71,5,0,4,2,0,0,0,330,13,0,50,6,43,9
36009,9999999,6827,334,71,0,321,456,115,333,92,4,32,17,130,1,447,1088,373,191,766,203,1853,304
36011,3603078,12643,0,0,69,201,1822,284,1427,155,73,161,41,600,137,323,1087,3085,80,1166,561,1371,189
36011,3603188,631,0,0,0,0,0,0,3,0,0,1,0,2,0,3,333,3,1,269,9,7,5
36011,3612958,346,0,0,0,5,0,2,27,0,3,3,0,3,0,0,191,34,0,29,9,40,8
36011,3613068,84,0,0,0,0,0,0,9,0,0,0,0,0,0,0,52,0,11,9,3,0,5
36011,3624988,138,0,0,0,18,1,0,22,5,0,1,0,0,0,0,0,0,6,65,0,20,12
36011,3646503,1109,70,0,0,13,1,1,23,0,5,0,0,1,0,7,67,4,5,19,7,886,13
36011,3646646,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2
36011,3648296,907,0,0,0,0,141,46,106,274,7,7,0,4,0,0,126,86,0,35,34,41,19
36011,3659212,293,0,0,0,4,0,0,60,0,7,4,0,0,0,1,151,0,0,15,9,42,11
36011,3676155,346,2,0,0,16,0,1,63,0,0,54,0,2,0,0,167,20,7,8,6,0,14
36011,3679015,644,0,0,0,83,39,31,100,88,7,20,0,15,0,7,75,0,0,85,20,74,14
36011,9999999,8026,869,22,13,821,1419,493,1041,494,35,44,30,108,91,230,682,306,98,271,201,758,375
36013,3605848,89,0,0,0,0,11,0,19,0,2,1,0,0,0,0,1,0,22,5,0,28,6
36013,3608488,335,0,1,0,13,29,0,24,0,6,1,0,0,0,0,174,0,0,18,22,47,10
36013,3611440,54,0,0,0,12,0,0,13,0,2,0,0,20,0,0,0,0,0,0,7,0,7
36013,3612749,53,0,0,0,2,0,0,17,0,0,0,0,3,0,0,0,0,11,8,12,0,7
36013,3613288,867,0,0,0,14,18,0,7,0,0,0,5,0,80,0,0,606,13,112,1,11,8
36013,3614058,308,0,0,0,0,0,0,0,0,0,0,7,0,0,0,182,0,0,41,39,39,15
36013,3615187,93,0,0,0,15,0,15,21,0,1,2,0,1,0,0,0,0,0,7,7,24,5
36013,3621105,4259,0,0,22,70,1249,85,225,35,24,78,38,77,57,275,489,863,32,229,171,240,95
36013,3625164,1921,0,0,0,27,1022,52,239,39,0,44,0,41,0,11,210,26,0,88,42,80,27
36013,3626649,282,0,0,0,22,65,4,13,33,1,4,0,0,0,1,117,3,0,15,4,0,9
36013,3627419,3141,2,0,46,42,31,22,497,57,83,38,49,117,0,27,966,278,39,628,99,120,55
36013,3627672,503,0,0,0,21,26,32,49,30,3,32,2,8,0,10,171,46,1,32,40,0,14
36013,3638264,11054,0,15,0,325,1499,284,1029,160,116,182,57,256,20,789,1407,2974,298,762,475,406,258
36013,3638275,1394,0,0,0,5,0,0,356,45,26,32,17,15,41,3,296,275,2,197,84,0,30
36013,3639243,72,0,0,0,18,0,0,3,22,5,0,0,0,0,0,0,0,20,0,4,0,5
36013,3641069,1946,0,0,0,44,129,3,668,0,30,67,8,51,0,55,0,174,58,531,74,54,33
36013,3646239,2082,0,36,0,0,4,0,84,0,7,25,21,41,0,16,185,127,4,112,23,1397,21
36013,3656231,179,0,0,0,5,0,0,0,0,0,9,0,0,0,0,137,5,0,1,2,20,4
36013,3661874,116,0,0,0,0,0,0,2,0,4,0,0,0,0,0,69,0,3,38,0,0,4
36013,3666949,311,12,0,0,1,24,2,19,1,3,6,0,8,0,1,131,65,0,22,3,13,12
36013,3667411,381,8,0,0,33,78,1,44,0,6,8,0,5,0,2,1,59,0,46,29,61,27
36013,3667488,49,0,0,0,1,0,0,21,0,2,0,0,6,0,0,0,4,0,0,15,0,5
36013,3672246,219,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,56,0,147,2,0,7
36013,3679939,1025,19,0,0,28,264,21,94,2,6,23,2,102,0,0,0,229,0,89,70,76,32
36013,9999999,14122,685,17,27,1006,3731,497,1328,577,154,84,128,192,9,677,1548,907,81,1181,506,787,541
36015,3606464,4594,5,88,0,82,910,105,1478,166,31,89,79,204,0,63,91,345,53,732,73,0,43
36015,3608004,39,0,0,0,1,0,0,13,0,0,0,0,0,0,0,25,0,0,0,0,0,3
36015,3624229,13345,0,0,28,410,1558,332,928,197,172,452,74,238,60,406,1453,3612,90,703,331,2301,226
36015,3624251,1254,0,0,0,114,139,3,141,21,40,26,12,48,0,121,268,122,8,76,72,43,44
36015,3635694,4170,0,41,136,59,510,150,391,307,41,60,76,60,27,338,769,520,0,450,93,142,65
36015,3635710,283,0,0,0,26,2,3,19,14,63,0,0,1,0,3,0,112,0,34,6,0,14
36015,3647427,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
36015,3658189,55,0,0,0,6,7,1,32,0,0,1,1,1,0,0,0,0,0,3,3,0,11
36015,3669606,961,12,0,0,80,116,49,129,3,0,24,10,18,6,39,77,188,10,145,25,30,37
36015,3676881,176,10,0,0,18,0,1,15,30,0,3,0,0,0,0,72,0,0,4,0,23,9
36015,3679081,45,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,8,0,9,0,15,6
36015,3679785,242,0,0,0,7,1,4,11,20,1,1,10,14,0,25,0,44,46,7,15,36,22
36015,9999999,6547,41,10,0,439,1431,334,925,683,46,46,43,114,49,276,646,437,77,590,273,87,174
36017,3600342,404,0,0,0,10,2,31,29,41,6,8,0,0,0,0,213,15,0,29,7,13,12
36017,3604033,503,0,0,0,14,18,24,57,0,5,43,2,8,0,23,198,26,0,45,3,37,16
36017,3621523,53,0,0,0,0,10,0,28,0,0,4,0,0,0,2,0,0,4,0,5,0,3
36017,3630411,2582,0,0,0,2,2152,35,58,0,17,8,7,8,0,0,102,57,14,56,15,51,24
36017,3631137,64,0,0,0,0,0,0,2,0,0,0,0,7,0,0,39,0,0,0,0,16,3
36017,3649946,709,0,0,0,0,0,0,30,0,5,285,0,5,0,1,252,80,0,19,22,10,12
36017,3653979,4486,0,0,0,59,78,7,231,82,253,796,48,100,24,272,331,1014,13,289,161,728,66
36017,3655948,416,5,0,0,1,7,0,62,35,0,14,0,0,0,0,190,25,0,45,7,25,16
36017,3666883,941,0,0,0,2,185,1,109,73,25,137,12,2,0,29,135,60,0,106,12,53,16
36017,3668088,44,0,0,0,0,0,0,10,0,0,0,0,0,0,0,23,0,7,4,0,0,5
36017,3668099,111,0,0,0,0,102,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,2
36017,9999999,6798,110,5,32,436,2928,76,992,342,5,29,67,69,29,70,544,481,43,214,191,135,234
36019,3601572,197,0,0,0,0,0,1,1,0,4,0,5,0,0,0,0,0,0,9,0,177,4
36019,3603254,70,0,0,0,5,0,0,32,10,0,4,1,0,0,0,0,14,0,4,0,0,4
36019,3611616,49,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,37,0,0,0,0,2
36019,3613739,436,0,0,0,19,16,112,106,82,39,6,6,0,0,0,2,5,0,2,39,2,16
36019,3614102,125,0,0,0,0,1,0,51,8,15,3,0,0,0,3,0,9,0,0,11,24,7
36019,3619408,101,0,0,0,11,0,0,5,50,1,0,10,4,0,9,0,1,0,2,7,1,10
36019,3619642,44,0,0,0,1,0,0,2,0,2,5,0,1,0,0,0,0,0,21,5,7,7
36019,3639089,136,0,0,0,3,10,0,34,0,0,0,3,2,0,22,0,9,0,22,10,21,10
36019,3643951,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,13,0,0,0,741,4
36019,3648241,50,0,0,0,0,0,17,28,0,0,0,0,0,0,0,0,0,0,3,2,0,2
36019,3648538,366,4,0,0,12,0,6,66,21,0,0,5,1,0,3,0,203,3,26,16,0,13
36019,3656291,922,0,0,0,47,418,11,76,105,0,14,0,43,0,0,45,137,1,20,5,0,10
