fiscal_year_ended,taxing_jurisdiction,jurisdiction_code,amount_distributed
2018,Oneida County Sales and Use Tax,33,137775803
2018,Onondaga County Sales and Use Tax,34,341248918
2018,Ontario County Sales and Use Tax,35,82247283
2018,Orange County Sales and Use Tax,36,281762554
2018,Orleans County Sales and Use Tax,37,16373530
2018,Oswego County Sales and Use Tax,38,46089844
2018,Otsego County Sales and Use Tax,39,37161369
2018,Putnam County Sales and Use Tax,40,59283804
2018,Rensselaer County Sales and Use Tax,41,83980493
2018,Rockland County Sales and Use Tax,42,211480323
2018,St. Lawrence County Sales and Use Tax,43,57037615
2018,Saratoga County Sales and Use Tax,44,120026666
2018,Schenectady County Sales and Use Tax,45,102533134
2018,Schoharie County Sales and Use Tax,46,15485318
2018,Schuyler County Sales and Use Tax,47,10773493
2018,Seneca County Sales and Use Tax,48,25155067
2018,Steuben County Sales and Use Tax,49,55475994
2018,Suffolk County Sales and Use Tax,50,1404875125
2018,Sullivan County Sales and Use Tax,51,40239334
2018,Tioga County Sales and Use Tax,52,21090899
2018,Tompkins County Sales and Use Tax,53,51644019
2018,Ulster County Sales and Use Tax,54,116005361
2018,Warren County Sales and Use Tax,55,52246630
2018,Washington County Sales and Use Tax,56,19651688
2018,Wayne County Sales and Use Tax,57,42968676
2018,Westchester County Sales and Use Tax,58,528641766
2018,Wyoming County Sales and Use Tax,59,18395795
2018,Yates County Sales and Use Tax,60,11835703
2018,City of Auburn Sales and Use Tax,61,8684760
2018,City of Batavia Sales and Use Tax,62,199
2018,City of Canandaigua Sales and Use Tax,63,203
2018,City of Corning Sales and Use Tax,64,31430
2018,City of Geneva Sales and Use Tax,65,2820
2018,City of Glens Falls Sales and Use Tax,66,3071926
2018,City of Gloversville Sales and Use Tax,67,3457614
2018,City of Hornell Sales and Use Tax,68,8776
2018,City of Ithaca Sales and Use Tax,69,11485826
2018,City of Johnstown Sales and Use Tax,70,3807204
2018,City of Mount Vernon Sales and Use Tax,71,20449009
2018,City of New Rochelle Sales and Use Tax,72,28294146
2018,City of Norwich Sales and Use Tax,73,1455854
2018,City of Ogdensburg Sales and Use Tax,74,28
2018,City of Olean Sales and Use Tax,75,4185400
2018,City of Oneida Sales and Use Tax,76,4615368
2018,City of Oswego Sales and Use Tax,77,14089783
2018,City of Rome Sales and Use Tax,78,7436243
2018,City of Salamanca Sales and Use Tax,79,654583
2018,City of Saratoga Springs Sales and Use Tax,80,11877391
2018,City of Utica Sales and Use Tax,81,10012136
2018,City of White Plains Sales and Use Tax,82,49643193
2018,City of Yonkers Sales and Use Tax,83,61360950
2018,City of Yonkers Special Sales and Use Tax,84,30767899
2018,City of Newburgh Consumer Utilities,85,1738449
2018,City of Port Jervis Consumer Utilities,86,306920
2018,Albany City School District Consumer Utilities,87,3907690
2018,Batavia City School District Consumer Utilities,88,670692
2018,Cohoes City School District Consumer Utilities,89,499625
2018,Glen Cove City School District Consumer Utilities,90,1377850
2018,Gloversville City School District Consumer Utilities,91,538731
2018,Hornell City School District Consumer Utilities,92,258372
2018,Hudson City School District Consumer Utilities,93,601573
2018,Johnstown City School District Consumer Utilities,94,442156
2018,Lackawanna City School District Consumer Utilities,95,491051
2018,Long Beach City School District Consumer Utilities,96,1579483
2018,Middletown City School District Consumer Utilities,97,1762189
2018,Mt. Vernon City School District Consumer Utilities,98,2393220
2018,New Rochelle City School District Consumer Utilities,99,2507544
2018,Newburgh City School District Consumer Utilities,100,2245097
2018,Niagara Falls City School District Consumer Utilities,101,1792347
2018,Ogdensburg City School District Consumer Utilities,102,360616
2018,Peekskill City School District Consumer Utilities,103,837711
2018,Rensselaer City School District Consumer Utilities,104,405351
2018,Rye City School District Consumer Utilities,105,705219
2018,Schenectady City School District Consumer Utilities,106,2037860
2018,Troy City School District Consumer Utilities,107,1302271
2018,Utica City School District Consumer Utilities,108,1723742
2018,Watertown City School District Consumer Utilities,109,1093014
2018,Watervliet City School District Consumer Utilities,110,327545
2018,White Plains City School District Consumer Utilities,111,2971922
2018,New York City Convention Center Development Corporation Hotel Occupancy,112,48607511
2018,"City of Lockport Admissions, Club Dues, Food, Drink, Amusements and Utilities Services",113,2353312
2018,City of Long Beach Hotel Occupancy and Restaurant Meals,114,2443810
2018,Metropolitan Transportation Authority Aid Trust Account Passenger Car Rental,115,36195945
2018,"City of Niagara Falls Admissions, Club Dues, Food, Drink, Amusements, Hotel Occupancy, Utilities Services",116,8176689
2019,New York State Sales and Use Tax,1,14492533000
2019,New York City Sales and Use Tax,2,7905700094
2019,Metropolitan Commuter Transportation District Sales and Use Tax,3,908240643
2019,Albany County Sales and Use Tax,4,276337829
2019,Allegany County Sales and Use Tax,5,21555319
2019,Broome County Sales and Use Tax,6,135561220
2019,Cattaraugus County Sales and Use Tax,7,38660348
2019,Cayuga County Sales and Use Tax,8,36847287
2019,Chautauqua County Sales and Use Tax,9,67717035
2019,Chemung County Sales and Use Tax,10,61336640
2019,Chenango County Sales and Use Tax,11,24162911
2019,Clinton County Sales and Use Tax,12,57034933
2019,Columbia County Sales and Use Tax,13,43252314
2019,Cortland County Sales and Use Tax,14,29706103
2019,Delaware County Sales and Use Tax,15,22669092
2019,Dutchess County Sales and Use Tax,16,211866178
2019,Erie County Sales and Use Tax,17,799526677
2019,Essex County Sales and Use Tax,18,31866359
2019,Franklin County Sales and Use Tax,19,23947427
2019,Fulton County Sales and Use Tax,20,22844556
2019,Genesee County Sales and Use Tax,21,42378566
2019,Greene County Sales and Use Tax,22,32821220
2019,Hamilton County Sales and Use Tax,23,4197684
2019,Herkimer County Sales and Use Tax,24,32630109
2019,Jefferson County Sales and Use Tax,25,78701927
2019,Lewis County Sales and Use Tax,26,12423777
2019,Livingston County Sales and Use Tax,27,34847040
2019,Madison County Sales and Use Tax,28,29268478
2019,Monroe County Sales and Use Tax,29,505201241
2019,Montgomery County Sales and Use Tax,30,30960739
2019,Nassau County Sales and Use Tax,31,1205037400
2019,Niagara County Sales and Use Tax,32,125451614
2019,Oneida County Sales and Use Tax,33,144122553
2019,Onondaga County Sales and Use Tax,34,366045629
2019,Ontario County Sales and Use Tax,35,85224022
2019,Orange County Sales and Use Tax,36,292247839
2019,Orleans County Sales and Use Tax,37,16875407
2019,Oswego County Sales and Use Tax,38,47837034
2019,Otsego County Sales and Use Tax,39,39020604
2019,Putnam County Sales and Use Tax,40,63578422
2019,Rensselaer County Sales and Use Tax,41,89273110
2019,Rockland County Sales and Use Tax,42,218308128
2019,St. Lawrence County Sales and Use Tax,43,59153993
2019,Saratoga County Sales and Use Tax,44,125039203
2019,Schenectady County Sales and Use Tax,45,101886306
2019,Schoharie County Sales and Use Tax,46,16068459
2019,Schuyler County Sales and Use Tax,47,11455318
2019,Seneca County Sales and Use Tax,48,26040303
2019,Steuben County Sales and Use Tax,49,59016857
2019,Suffolk County Sales and Use Tax,50,1457601894
2019,Sullivan County Sales and Use Tax,51,46804676
2019,Tioga County Sales and Use Tax,52,24257920
2019,Tompkins County Sales and Use Tax,53,54352001
2019,Ulster County Sales and Use Tax,54,119925778
2019,Warren County Sales and Use Tax,55,55219712
2019,Washington County Sales and Use Tax,56,20389156
2019,Wayne County Sales and Use Tax,57,45659585
2019,Westchester County Sales and Use Tax,58,554246133
2019,Wyoming County Sales and Use Tax,59,18345269
2019,Yates County Sales and Use Tax,60,12768881
2019,City of Auburn Sales and Use Tax,61,9232716
2019,City of Batavia Sales and Use Tax,62,173
2019,City of Canandaigua Sales and Use Tax,63,318
2019,City of Corning Sales and Use Tax,64,-116564
2019,City of Geneva Sales and Use Tax,65,4171
2019,City of Glens Falls Sales and Use Tax,66,3298496
2019,City of Gloversville Sales and Use Tax,67,4053928
2019,City of Hornell Sales and Use Tax,68,3250
2019,City of Ithaca Sales and Use Tax,69,11975486
2019,City of Johnstown Sales and Use Tax,70,4096716
2019,City of Mount Vernon Sales and Use Tax,71,21886857
2019,City of New Rochelle Sales and Use Tax,72,29853549
2019,City of Norwich Sales and Use Tax,73,1671572
2019,City of Ogdensburg Sales and Use Tax,74,3
2019,City of Olean Sales and Use Tax,75,4351311
2019,City of Oneida Sales and Use Tax,76,4435549
2019,City of Oswego Sales and Use Tax,77,14717723
2019,City of Rome Sales and Use Tax,78,7987888
2019,City of Salamanca Sales and Use Tax,79,677712
2019,City of Saratoga Springs Sales and Use Tax,80,12757183
2019,City of Utica Sales and Use Tax,81,10673963
2019,City of White Plains Sales and Use Tax,82,49146783
2019,City of Yonkers Sales and Use Tax,83,64614646
2019,City of Yonkers Special Sales and Use Tax,84,32354740
2019,City of Newburgh Consumer Utilities,85,1859852
2019,City of Port Jervis Consumer Utilities,86,345426
2019,Albany City School District Consumer Utilities,87,3947844
2019,Batavia City School District Consumer Utilities,88,714644
2019,Cohoes City School District Consumer Utilities,89,519710
2019,Glen Cove City School District Consumer Utilities,90,1503308
2019,Gloversville City School District Consumer Utilities,91,704186
2019,Hornell City School District Consumer Utilities,92,281096
2019,Hudson City School District Consumer Utilities,93,1034166
2019,Johnstown City School District Consumer Utilities,94,539979
2019,Lackawanna City School District Consumer Utilities,95,571331
2019,Long Beach City School District Consumer Utilities,96,1711590
2019,Middletown City School District Consumer Utilities,97,2081288
2019,Mt. Vernon City School District Consumer Utilities,98,2610003
2019,New Rochelle City School District Consumer Utilities,99,2719759
2019,Newburgh City School District Consumer Utilities,100,2616214
2019,Niagara Falls City School District Consumer Utilities,101,1770775
2019,Ogdensburg City School District Consumer Utilities,102,366578
2019,Peekskill City School District Consumer Utilities,103,1021078
2019,Rensselaer City School District Consumer Utilities,104,480107
2019,Rye City School District Consumer Utilities,105,814935
2019,Schenectady City School District Consumer Utilities,106,2241880
2019,Troy City School District Consumer Utilities,107,1278404
2019,Utica City School District Consumer Utilities,108,1700372
2019,Watertown City School District Consumer Utilities,109,1252587
2019,Watervliet City School District Consumer Utilities,110,343004
2019,White Plains City School District Consumer Utilities,111,3402069
2019,New York City Convention Center Development Corporation Hotel Occupancy,112,51430026
2019,"City of Lockport Admissions, Club Dues, Food, Drink, Amusements and Utilities Services",113,2454451
2019,City of Long Beach Hotel Occupancy and Restaurant Meals,114,2461051
2019,"City of Niagara Falls Admissions, Club Dues, Food, Drink, Amusements, Hotel Occupancy, Utilities Services",115,7973402
2020,New York State Sales and Use Tax,1,15073717366
2020,New York City Sales and Use Tax,2,8344340629
2020,Metropolitan Commuter Transportation District Sales and Use Tax,3,1058531050
2020,Albany County Sales and Use Tax,4,288115767
2020,Allegany County Sales and Use Tax,5,22564636
2020,Broome County Sales and Use Tax,6,143445520
2020,Cattaraugus County Sales and Use Tax,7,40650597
2020,Cayuga County Sales and Use Tax,8,38458949
2020,Chautauqua County Sales and Use Tax,9,71619758
2020,Chemung County Sales and Use Tax,10,63223017
2020,Chenango County Sales and Use Tax,11,24952209
2020,Clinton County Sales and Use Tax,12,60479199
2020,Columbia County Sales and Use Tax,13,45393059
2020,Cortland County Sales and Use Tax,14,31451008
2020,Delaware County Sales and Use Tax,15,22545987
2020,Dutchess County Sales and Use Tax,16,220102123
2020,Erie County Sales and Use Tax,17,836394566
2020,Essex County Sales and Use Tax,18,32117401
2020,Franklin County Sales and Use Tax,19,25340804
2020,Fulton County Sales and Use Tax,20,22626804
2020,Genesee County Sales and Use Tax,21,42780502
2020,Greene County Sales and Use Tax,22,35065007
2020,Hamilton County Sales and Use Tax,23,4356230
2020,Herkimer County Sales and Use Tax,24,34382256
2020,Jefferson County Sales and Use Tax,25,80617718
2020,Lewis County Sales and Use Tax,26,13129528
2020,Livingston County Sales and Use Tax,27,35850617
2020,Madison County Sales and Use Tax,28,30872086
2020,Monroe County Sales and Use Tax,29,531285254
2020,Montgomery County Sales and Use Tax,30,33244786
2020,Nassau County Sales and Use Tax,31,1259962447
2020,Niagara County Sales and Use Tax,32,131368554
2020,Oneida County Sales and Use Tax,33,150884277
2020,Onondaga County Sales and Use Tax,34,373779992
2020,Ontario County Sales and Use Tax,35,89812399
2020,Orange County Sales and Use Tax,36,303205237
2020,Orleans County Sales and Use Tax,37,17866968
2020,Oswego County Sales and Use Tax,38,48165864
2020,Otsego County Sales and Use Tax,39,40773768
2020,Putnam County Sales and Use Tax,40,67269965
2020,Rensselaer County Sales and Use Tax,41,95550571
2020,Rockland County Sales and Use Tax,42,236498544
2020,St. Lawrence County Sales and Use Tax,43,62914230
2020,Saratoga County Sales and Use Tax,44,131136996
2020,Schenectady County Sales and Use Tax,45,105310560
2020,Schoharie County Sales and Use Tax,46,16284302
2020,Schuyler County Sales and Use Tax,47,12157577
2020,Seneca County Sales and Use Tax,48,28086159
2020,Steuben County Sales and Use Tax,49,60170344
2020,Suffolk County Sales and Use Tax,50,1530406740
2020,Sullivan County Sales and Use Tax,51,48069082
2020,Tioga County Sales and Use Tax,52,25219749
2020,Tompkins County Sales and Use Tax,53,57490186
2020,Ulster County Sales and Use Tax,54,129081133
2020,Warren County Sales and Use Tax,55,56634121
2020,Washington County Sales and Use Tax,56,21949732
2020,Wayne County Sales and Use Tax,57,48630921
2020,Westchester County Sales and Use Tax,58,649251752
2020,Wyoming County Sales and Use Tax,59,19334968
2020,Yates County Sales and Use Tax,60,13916823
2020,City of Auburn Sales and Use Tax,61,9825652
2020,City of Canandaigua Sales and Use Tax,62,55
2020,City of Corning Sales and Use Tax,63,160024
2020,City of Fulton Sales and Use Tax,64,816
2020,City of Geneva Sales and Use Tax,65,2869
2020,City of Glens Falls Sales and Use Tax,66,3558635
2020,City of Gloversville Sales and Use Tax,67,3952507
2020,City of Hornell Sales and Use Tax,68,3108
2020,City of Ithaca Sales and Use Tax,69,12503916
2020,City of Johnstown Sales and Use Tax,70,4204170
2020,City of Mount Vernon Sales and Use Tax,71,22606606
2020,City of New Rochelle Sales and Use Tax,72,31463991
2020,City of Norwich Sales and Use Tax,73,1844812
2020,City of Olean Sales and Use Tax,74,4400768
2020,City of Oneida Sales and Use Tax,75,4870151
2020,City of Oswego Sales and Use Tax,76,14644088
2020,City of Rome Sales and Use Tax,77,8126701
2020,City of Salamanca Sales and Use Tax,78,686702
2020,City of Saratoga Springs Sales and Use Tax,79,13511323
2020,City of Sherrill Sales and Use Tax,80,539
2020,City of Utica Sales and Use Tax,81,11355767
2020,City of White Plains Sales and Use Tax,82,53249549
2020,City of Yonkers Sales and Use Tax,83,66265710
2020,City of Yonkers Special Sales and Use Tax,84,33220791
2020,City of Newburgh Consumer Utilities,85,1115862
2020,City of Port Jervis Consumer Utilities,86,358861
2020,Albany City School District Consumer Utilities,87,4129193
2020,Batavia City School District Consumer Utilities,88,669697
2020,Cohoes City School District Consumer Utilities,89,547927
2020,Glen Cove City School District Consumer Utilities,90,1490543
2020,Gloversville City School District Consumer Utilities,91,557260
2020,Hornell City School District Consumer Utilities,92,296215
2020,Hudson City School District Consumer Utilities,93,607739
2020,Johnstown City School District Consumer Utilities,94,449404
2020,Lackawanna City School District Consumer Utilities,95,533173
2020,Long Beach City School District Consumer Utilities,96,1654398
2020,Middletown City School District Consumer Utilities,97,1998668
2020,Mt. Vernon City School District Consumer Utilities,98,2564449
2020,New Rochelle City School District Consumer Utilities,99,3026766
2020,Newburgh City School District Consumer Utilities,100,2578108
2020,Niagara Falls City School District Consumer Utilities,101,1909523
2020,Ogdensburg City School District Consumer Utilities,102,350283
2020,Peekskill City School District Consumer Utilities,103,939573
2020,Pougkeepsie City School District Consumer Utilities,104,207735
2020,Rensselaer City School District Consumer Utilities,105,375247
2020,Rye City School District Consumer Utilities,106,773108
2020,Schenectady City School District Consumer Utilities,107,2283723
2020,Troy City School District Consumer Utilities,108,1340385
2020,Utica City School District Consumer Utilities,109,1800360
2020,Watertown City School District Consumer Utilities,110,996100
2020,Watervliet City School District Consumer Utilities,111,338060
2020,White Plains City School District Consumer Utilities,112,3572883
2020,New York City Convention Center Development Corporation Hotel Occupancy,113,52271408
2020,"City of Lockport Admissions, Club Dues, Food, Drink, Amusements and Utilities Services",114,2094859
2020,City of Long Beach Hotel Occupancy and Restaurant Meals,115,2808977
2020,"City of Niagara Falls Admissions, Club Dues, Food, Drink, Amusements, Hotel Occupancy, Utilities Services",116,8152812
2021,New York State Sales and Use Tax,1,13347477200
2021,New York City Sales and Use Tax,2,6620383340
2021,Metropolitan Commuter Transportation District Sales and Use Tax,3,889972365
2021,Albany County Sales and Use Tax,4,262424604
2021,Allegany County Sales and Use Tax,5,23628631
2021,Broome County Sales and Use Tax,6,139684406
2021,Cattaraugus County Sales and Use Tax,7,40648439
2021,Cayuga County Sales and Use Tax,8,38500064
2021,Chautauqua County Sales and Use Tax,9,71542992
2021,Chemung County Sales and Use Tax,10,59904284
2021,Chenango County Sales and Use Tax,11,25151626
2021,Clinton County Sales and Use Tax,12,57234945
2021,Columbia County Sales and Use Tax,13,45873966
2021,Cortland County Sales and Use Tax,14,31154799
2021,Delaware County Sales and Use Tax,15,24621116
2021,Dutchess County Sales and Use Tax,16,211389734
2021,Erie County Sales and Use Tax,17,808211676
2021,Essex County Sales and Use Tax,18,32015962
2021,Franklin County Sales and Use Tax,19,26666676
2021,Fulton County Sales and Use Tax,20,23601516
2021,Genesee County Sales and Use Tax,21,41129844
2021,Greene County Sales and Use Tax,22,36828281
2021,Hamilton County Sales and Use Tax,23,4217553
2021,Herkimer County Sales and Use Tax,24,34935272
2021,Jefferson County Sales and Use Tax,25,82213919
2021,Lewis County Sales and Use Tax,26,13324922
2021,Livingston County Sales and Use Tax,27,36190204
2021,Madison County Sales and Use Tax,28,32212694
2021,Monroe County Sales and Use Tax,29,503308238
2021,Montgomery County Sales and Use Tax,30,35215839
2021,Nassau County Sales and Use Tax,31,1177031586
2021,Niagara County Sales and Use Tax,32,128807835
2021,Oneida County Sales and Use Tax,33,148431439
2021,Onondaga County Sales and Use Tax,34,361759334
2021,Ontario County Sales and Use Tax,35,85226629
2021,Orange County Sales and Use Tax,36,278571115
2021,Orleans County Sales and Use Tax,37,19334480
2021,Oswego County Sales and Use Tax,38,53571726
2021,Otsego County Sales and Use Tax,39,37270316
2021,Putnam County Sales and Use Tax,40,66721591
2021,Rensselaer County Sales and Use Tax,41,97095616
2021,Rockland County Sales and Use Tax,42,224255300
2021,St. Lawrence County Sales and Use Tax,43,64216928
2021,Saratoga County Sales and Use Tax,44,127505744
2021,Schenectady County Sales and Use Tax,45,104331198
2021,Schoharie County Sales and Use Tax,46,16889924
2021,Schuyler County Sales and Use Tax,47,11617570
2021,Seneca County Sales and Use Tax,48,25381756
2021,Steuben County Sales and Use Tax,49,57912503
2021,Suffolk County Sales and Use Tax,50,1482132005
2021,Sullivan County Sales and Use Tax,51,50032022
2021,Tioga County Sales and Use Tax,52,24243888
2021,Tompkins County Sales and Use Tax,53,50308326
2021,Ulster County Sales and Use Tax,54,127829651
2021,Warren County Sales and Use Tax,55,55003776
2021,Washington County Sales and Use Tax,56,22660294
2021,Wayne County Sales and Use Tax,57,52533976
2021,Westchester County Sales and Use Tax,58,676138329
2021,Wyoming County Sales and Use Tax,59,19883954
2021,Yates County Sales and Use Tax,60,14763054
2021,City of Auburn Sales and Use Tax,61,9413756
2021,City of Canandaigua Sales and Use Tax,62,127
2021,City of Corning Sales and Use Tax,63,306349
2021,City of Fulton Sales and Use Tax,64,429
2021,City of Geneva Sales and Use Tax,65,147
2021,City of Glens Falls Sales and Use Tax,66,3416319
2021,City of Gloversville Sales and Use Tax,67,4655936
2021,City of Hornell Sales and Use Tax,68,413912
2021,City of Ithaca Sales and Use Tax,69,11259751
2021,City of Johnstown Sales and Use Tax,70,6598846
2021,City of Mount Vernon Sales and Use Tax,71,20776938
2021,City of New Rochelle Sales and Use Tax,72,28203340
2021,City of Norwich Sales and Use Tax,73,2048158
2021,City of Olean Sales and Use Tax,74,5140503
2021,City of Oneida Sales and Use Tax,75,5709660
2021,City of Oswego Sales and Use Tax,76,13671654
2021,City of Rome Sales and Use Tax,77,8549731
2021,City of Salamanca Sales and Use Tax,78,1659793
2021,City of Saratoga Springs Sales and Use Tax,79,13782532
2021,City of Sherrill Sales and Use Tax,80,260
2021,City of Utica Sales and Use Tax,81,15495939
2021,City of White Plains Sales and Use Tax,82,40542777
2021,City of Yonkers Sales and Use Tax,83,56874432
2021,City of Yonkers Special Sales and Use Tax,84,53096567
2021,City of Newburgh Consumer Utilities,85,1202756
2021,City of Port Jervis Consumer Utilities,86,362267
2021,Albany City School District Consumer Utilities,87,4030110
2021,Batavia City School District Consumer Utilities,88,644551
2021,Cohoes City School District Consumer Utilities,89,535464
2021,Glen Cove City School District Consumer Utilities,90,1277741
2021,Gloversville City School District Consumer Utilities,91,598438
2021,Hornell City School District Consumer Utilities,92,289429
2021,Hudson City School District Consumer Utilities,93,627392
2021,Johnstown City School District Consumer Utilities,94,483243
2021,Lackawanna City School District Consumer Utilities,95,466763
2021,Long Beach City School District Consumer Utilities,96,1619382
2021,Middletown City School District Consumer Utilities,97,2147447
2021,Mt. Vernon City School District Consumer Utilities,98,2832388
2021,New Rochelle City School District Consumer Utilities,99,3430682
2021,Newburgh City School District Consumer Utilities,100,2703613
2021,Niagara Falls City School District Consumer Utilities,101,1814276
2021,Ogdensburg City School District Consumer Utilities,102,364309
2021,Peekskill City School District Consumer Utilities,103,930662
2021,Pougkeepsie City School District Consumer Utilities,104,1705874
2021,Rensselaer City School District Consumer Utilities,105,416010
2021,Rye City School District Consumer Utilities,106,786953
2021,Schenectady City School District Consumer Utilities,107,2156511
2021,Troy City School District Consumer Utilities,108,1285931
2021,Utica City School District Consumer Utilities,109,1742461
2021,Watertown City School District Consumer Utilities,110,1143540
2021,Watervliet City School District Consumer Utilities,111,333555
2021,White Plains City School District Consumer Utilities,112,3886149
2021,New York City Convention Center Development Corporation Hotel Occupancy,113,26767852
2021,"City of Lockport Admissions, Club Dues, Food, Drink, Amusements and Utilities Services",114,1939155
2021,City of Long Beach Hotel Occupancy and Restaurant Meals,115,2308541
2021,"City of Niagara Falls Admissions, Club Dues, Food, Drink, Amusements, Hotel Occupancy, Utilities Services",116,5757039
2022,New York State Sales and Use Tax,1,16497853997
2022,New York City Sales and Use Tax,2,8069083846
2022,Metropolitan Commuter Transportation District Sales and Use Tax,3,1119978533
2022,Albany County Sales and Use Tax,4,325712767
2022,Allegany County Sales and Use Tax,5,28200216
2022,Broome County Sales and Use Tax,6,167351971
2022,Cattaraugus County Sales and Use Tax,7,49350071
2022,Cayuga County Sales and Use Tax,8,48668959
2022,Chautauqua County Sales and Use Tax,9,87940314
2022,Chemung County Sales and Use Tax,10,72369542
2022,Chenango County Sales and Use Tax,11,30228788
2022,Clinton County Sales and Use Tax,12,68790601
2022,Columbia County Sales and Use Tax,13,57963721
2022,Cortland County Sales and Use Tax,14,38440839
2022,Delaware County Sales and Use Tax,15,30348588
2022,Dutchess County Sales and Use Tax,16,256948750
2022,Erie County Sales and Use Tax,17,970524553
2022,Essex County Sales and Use Tax,18,39480805
2022,Franklin County Sales and Use Tax,19,31527498
2022,Fulton County Sales and Use Tax,20,27729401
2022,Genesee County Sales and Use Tax,21,51172033
2022,Greene County Sales and Use Tax,22,44640107
2022,Hamilton County Sales and Use Tax,23,5018246
2022,Herkimer County Sales and Use Tax,24,41737111
2022,Jefferson County Sales and Use Tax,25,100811835
2022,Lewis County Sales and Use Tax,26,16503704
2022,Livingston County Sales and Use Tax,27,43257970
2022,Madison County Sales and Use Tax,28,38389357
2022,Monroe County Sales and Use Tax,29,617878403
2022,Montgomery County Sales and Use Tax,30,42444553
2022,Nassau County Sales and Use Tax,31,1470018867
2022,Niagara County Sales and Use Tax,32,154382825
2022,Oneida County Sales and Use Tax,33,180251149
2022,Onondaga County Sales and Use Tax,34,444838133
2022,Ontario County Sales and Use Tax,35,107156967
2022,Orange County Sales and Use Tax,36,361641895
2022,Orleans County Sales and Use Tax,37,22380075
2022,Oswego County Sales and Use Tax,38,56647223
2022,Otsego County Sales and Use Tax,39,46074968
2022,Putnam County Sales and Use Tax,40,80651951
2022,Rensselaer County Sales and Use Tax,41,113015731
2022,Rockland County Sales and Use Tax,42,278893385
2022,St. Lawrence County Sales and Use Tax,43,76397151
2022,Saratoga County Sales and Use Tax,44,157028220
2022,Schenectady County Sales and Use Tax,45,122871563
2022,Schoharie County Sales and Use Tax,46,20382598
2022,Schuyler County Sales and Use Tax,47,14546289
2022,Seneca County Sales and Use Tax,48,31678872
2022,Steuben County Sales and Use Tax,49,71566254
2022,Suffolk County Sales and Use Tax,50,1857419327
2022,Sullivan County Sales and Use Tax,51,66605997
2022,Tioga County Sales and Use Tax,52,29866262
2022,Tompkins County Sales and Use Tax,53,63825719
2022,Ulster County Sales and Use Tax,54,159517795
2022,Warren County Sales and Use Tax,55,67327375
2022,Washington County Sales and Use Tax,56,27235037
2022,Wayne County Sales and Use Tax,57,60591473
2022,Westchester County Sales and Use Tax,58,831420449
2022,Wyoming County Sales and Use Tax,59,23337611
2022,Yates County Sales and Use Tax,60,18337721
2022,City of Auburn Sales and Use Tax,61,11012233
2022,City of Corning Sales and Use Tax,62,20598
2022,City of Fulton Sales and Use Tax,63,647
2022,City of Geneva Sales and Use Tax,64,225
2022,City of Glens Falls Sales and Use Tax,65,4160281
2022,City of Gloversville Sales and Use Tax,66,4551525
2022,City of Hornell Sales and Use Tax,67,1950
2022,City of Ithaca Sales and Use Tax,68,13063365
2022,City of Johnstown Sales and Use Tax,69,4814818
2022,City of Mount Vernon Sales and Use Tax,70,28147273
2022,City of New Rochelle Sales and Use Tax,71,38212155
2022,City of Norwich Sales and Use Tax,72,2341244
2022,City of Ogdensburg Sales and Use Tax,73,4
2022,City of Olean Sales and Use Tax,74,5406932
2022,City of Oneida Sales and Use Tax,75,6379884
2022,City of Oswego Sales and Use Tax,76,17249883
2022,City of Rome Sales and Use Tax,77,9653855
2022,City of Salamanca Sales and Use Tax,78,855063
2022,City of Saratoga Springs Sales and Use Tax,79,15176535
2022,City of Sherrill Sales and Use Tax,80,37
2022,City of Utica Sales and Use Tax,81,13269700
2022,City of White Plains Sales and Use Tax,82,53116047
2022,City of Yonkers Sales and Use Tax,83,77521528
2022,City of Yonkers Special Sales and Use Tax,84,38774171
2022,City of Newburgh Consumer Utilities,85,1225124
2022,City of Port Jervis Consumer Utilities,86,412282
2022,Albany City School District Consumer Utilities,87,4143857
2022,Batavia City School District Consumer Utilities,88,758319
2022,Cohoes City School District Consumer Utilities,89,607028
2022,Glen Cove City School District Consumer Utilities,90,1507876
2022,Gloversville City School District Consumer Utilities,91,634746
2022,Hornell City School District Consumer Utilities,92,321121
2022,Hudson City School District Consumer Utilities,93,706382
2022,Johnstown City School District Consumer Utilities,94,504325
2022,Lackawanna City School District Consumer Utilities,95,563542
2022,Long Beach City School District Consumer Utilities,96,1743725
2022,Middletown City School District Consumer Utilities,97,2251307
2022,Mt. Vernon City School District Consumer Utilities,98,3203375
2022,New Rochelle City School District Consumer Utilities,99,3831928
2022,Newburgh City School District Consumer Utilities,100,2761467
2022,Niagara Falls City School District Consumer Utilities,101,1975688
2022,Ogdensburg City School District Consumer Utilities,102,348978
2022,Peekskill City School District Consumer Utilities,103,1056168
2022,Rensselaer City School District Consumer Utilities,104,426975
2022,Rye City School District Consumer Utilities,105,934800
2022,Schenectady City School District Consumer Utilities,106,2518448
2022,Troy City School District Consumer Utilities,107,1475649
2022,Utica City School District Consumer Utilities,108,2048784
2022,Watertown City School District Consumer Utilities,109,1172697
2022,Watervliet City School District Consumer Utilities,110,394325
2022,White Plains City School District Consumer Utilities,111,4597117
2022,New York City Convention Center Development Corporation Hotel Occupancy,112,21663975
2022,"City of Lockport Admissions, Club Dues, Food, Drink, Amusements and Utilities Services",113,2359550
2022,City of Long Beach Hotel Occupancy and Restaurant Meals,114,3251585
